id,title,description,link,image_link,price,availability,condition,brand,google_product_category,color,material,product_type
root-blazing-flame-red-agate-bracelet-10mm,Blazing Flame Red Agate Bracelet 10mm,"Fire, captured in stone — 10mm of blazing red agate that turns buried passion into action and fear into forward motion.",https://lunartalisman.com/detail/root-blazing-flame-red-agate-bracelet-10mm/,https://lunartalisman.com/pins/root-blazing-flame-red-agate-bracelet-10mm.jpg,533.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Natural Red Agate (Deep Fire-R,Root Chakra
root-red-fire-agate-bracelet,Red Fire Agate Bracelet,Flowers of crimson flame frozen inside the stone — the rare red flower agate that ignites your passion and grounds your strength in one breathtaking bead.,https://lunartalisman.com/detail/root-red-fire-agate-bracelet/,https://lunartalisman.com/pins/root-red-fire-agate-bracelet.jpg,305.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Approx. 10Mm Natural Red Flowe,Root Chakra
root-aged-in-time-red-fire-agate-clear-quartz-bracelet,Aged in Time — Red Fire Agate & Clear Quartz Bracelet,"Brewed slowly by time, like fine wine — red fire agate and clear quartz for the wisdom, warmth, and quiet power that only years can create.",https://lunartalisman.com/detail/root-aged-in-time-red-fire-agate-clear-quartz-bracelet/,https://lunartalisman.com/pins/root-aged-in-time-red-fire-agate-clear-quartz-bracelet.jpg,267.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Approx. 8Mm (Red Flower Agate ,Root Chakra
root-five-elements-fire-starfire-multi-stone-bracelet,Five Elements Fire Starfire Multi-Stone Bracelet,"When your fire has dimmed, this mix rekindles the spark that gets things moving.",https://lunartalisman.com/detail/root-five-elements-fire-starfire-multi-stone-bracelet/,https://lunartalisman.com/pins/root-five-elements-fire-starfire-multi-stone-bracelet.jpg,312.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,A Curated Five Elements Fire M,Root Chakra
root-cinnabar-gourd-bracelet-8mm,Cinnabar Gourd Bracelet 8mm,"The ancient red of imperial seals wrapped around your wrist — a gourd-shaped anchor that keeps your home safe and your fortune growing, so you can finally feel rooted.",https://lunartalisman.com/detail/root-cinnabar-gourd-bracelet-8mm/,https://lunartalisman.com/pins/root-cinnabar-gourd-bracelet-8mm.jpg,243.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Gourd-Shaped Cinnabar Beads,Root Chakra
root-red-agate-gourd-bracelet-8mm,Red Agate Gourd Bracelet 8mm,"A luminous crimson gourd for your wrist — the gentle guardian that keeps your luck steady and your heart calm, one bead at a time.",https://lunartalisman.com/detail/root-red-agate-gourd-bracelet-8mm/,https://lunartalisman.com/pins/root-red-agate-gourd-bracelet-8mm.jpg,104.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,red,Gourd-Shaped Natural Red Agate,Root Chakra
sacral-sacral-chakra-inner-fire-fire-agate-bracelet-8mm,Sacral Chakra Inner Fire Fire Agate Bracelet 8mm,A fire that cannot be extinguished — because you were never meant to dim yourself.,https://lunartalisman.com/detail/sacral-sacral-chakra-inner-fire-fire-agate-bracelet-8mm/,https://lunartalisman.com/pins/sacral-sacral-chakra-inner-fire-fire-agate-bracelet-8mm.jpg,222.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,orange,Fire Agate,Sacral Chakra
sacral-sacral-chakra-faceted-carnelian-bracelet-10mm,Sacral Chakra Faceted Carnelian Bracelet 10mm,Precision-cut fire — because you are allowed to sparkle while you work.,https://lunartalisman.com/detail/sacral-sacral-chakra-faceted-carnelian-bracelet-10mm/,https://lunartalisman.com/pins/sacral-sacral-chakra-faceted-carnelian-bracelet-10mm.jpg,208.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,orange,Faceted Carnelian,Sacral Chakra
heart-a2-2506,Lychee Rose Quartz Bracelet,"Pale rose quartz in the blush of a ripe lychee, sweet, soft, quietly luminous. For the kind of love that does not shout but shows up daily, asking only that you receive it.",https://lunartalisman.com/detail/heart-a2-2506/,https://lunartalisman.com/pins/heart-a2-2506.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Pale Rose Quartz,Heart Chakra
heart-a1-2510,Starry Night Rose Quartz Bracelet,"Blush rose quartz beads glow like a wearable night sky, pink light for slow evenings and trusting conversations. A constellation for your wrist when your heart needs reminding it is safe to open.",https://lunartalisman.com/detail/heart-a1-2510/,https://lunartalisman.com/pins/heart-a1-2510.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Rose Quartz,Heart Chakra
heart-a4-2503,Gilded Times Rose Quartz Bracelet,"Rose quartz in warm, timeless pink, threaded with gilded accents that catch the light like old memories. A bracelet for love that ages well, for tenderness that only deepens with the years.",https://lunartalisman.com/detail/heart-a4-2503/,https://lunartalisman.com/pins/heart-a4-2503.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Rose Quartz,Heart Chakra
heart-a4-2506-10mm,Nine Tail Fox Rose Quartz Bracelet 10mm,"Ten-millimeter rose quartz in a deep, confident pink, named for the nine-tailed fox of folklore, a creature of devotion and allure. A bracelet for loving with your whole heart without losing yourself in it.",https://lunartalisman.com/detail/heart-a4-2506-10mm/,https://lunartalisman.com/pins/heart-a4-2506-10mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,10 Mm,Heart Chakra
heart-a7-2510,Strawberry Quartz Bracelet Classic,"Strawberry quartz in its classic form, rose-pink crystal dotted with red inclusions like tiny seeds of courage. A timeless strand for those who believe self-love is the bravest love of all.",https://lunartalisman.com/detail/heart-a7-2510/,https://lunartalisman.com/pins/heart-a7-2510.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Strawberry Quartz,Heart Chakra
heart-a8-2505,Strawberry Quartz Fortune Turn Bracelet,"Strawberry quartz for those who believe fortune can be turned, gently, toward home. Said to help a drifting season right itself, one soft pink bead at a time.",https://lunartalisman.com/detail/heart-a8-2505/,https://lunartalisman.com/pins/heart-a8-2505.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Strawberry Quartz,Heart Chakra
heart-a8-2510-10mm,Strawberry Quartz Bracelet 10mm,"Ten-millimeter strawberry quartz, larger beads, deeper presence, the same rose-pink warmth dotted with red. A bracelet that asks to be noticed, for a self-love that no longer apologizes for taking up space.",https://lunartalisman.com/detail/heart-a8-2510-10mm/,https://lunartalisman.com/pins/heart-a8-2510-10mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,10 Mm,Heart Chakra
heart-a8-2504,Strawberry Quartz Star Bracelet,"Strawberry quartz with a star woven into the design, a wish you can wear close to your pulse. For dreamers who also show up, and hearts that want permission to shine softly.",https://lunartalisman.com/detail/heart-a8-2504/,https://lunartalisman.com/pins/heart-a8-2504.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Strawberry Quartz,Heart Chakra
heart-a9-2506-6mm,Sweet Summer Love Strawberry Quartz Chalcedony 6mm,"Six-millimeter beads of strawberry quartz and chalcedony, blush pink and milky white, sweet as the first week of summer. A luminous strand for a heart that wants to love joyfully, without armor or agenda.",https://lunartalisman.com/detail/heart-a9-2506-6mm/,https://lunartalisman.com/pins/heart-a9-2506-6mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,6 Mm,Heart Chakra
heart-b3-2502,Rose Quartz Sugar Cube Nine Purple Fire Bracelet,"Cube-cut rose quartz, like sugar cubes dipped in blush, set for the nine-purple fire era, the season in Chinese tradition said to favor warmth, joy, and being truly seen. Sweetness with heat, worn daily.",https://lunartalisman.com/detail/heart-b3-2502/,https://lunartalisman.com/pins/heart-b3-2502.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,"Cube, Sugar-Cube Shape",Heart Chakra
heart-b7-2502,Pink Series Rose Quartz Pearl Bracelet,"A tender pairing of rose quartz and luminous pearls — pink, in every quiet shade, for the moments when you need to remember that softness is strength.",https://lunartalisman.com/detail/heart-b7-2502/,https://lunartalisman.com/pins/heart-b7-2502.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Single-Strand Pink Series With,Heart Chakra
heart-c10-2507,Rose Quartz Rotating Snowflake Bracelet,"Rose quartz at your wrist, and above it a snowflake that turns as you move — because no two hearts, like no two snowflakes, were ever meant to be the same.",https://lunartalisman.com/detail/heart-c10-2507/,https://lunartalisman.com/pins/heart-c10-2507.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Rose Quartz Stretch Bracelet W,Heart Chakra
heart-d5-2508,Sakura Falling Rose Quartz Silver Cat's Eye Bracelet,"Petals of pink rose quartz falling into silver cat's eye shimmer — for the heart that is learning to let love arrive gently, like spring, without force.",https://lunartalisman.com/detail/heart-d5-2508/,https://lunartalisman.com/pins/heart-d5-2508.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Alternating Rose Quartz And Si,Heart Chakra
heart-f01-2505,Rose Quartz Jade Accent Bracelet,"Rose quartz for the love you give yourself, jade for the harmony that follows — two soft stones, one quiet bracelet, worn close to the heart.",https://lunartalisman.com/detail/heart-f01-2505/,https://lunartalisman.com/pins/heart-f01-2505.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Rose Quartz Bracelet With Smoo,Heart Chakra
heart-i03-2501,Good Fate Awaits Clear Quartz Strawberry Quartz Bracelet,"Clear quartz for clarity, strawberry quartz for warmth — because good things tend to find the hearts that stay open enough to recognize them.",https://lunartalisman.com/detail/heart-i03-2501/,https://lunartalisman.com/pins/heart-i03-2501.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Alternating Clear Quartz And S,Heart Chakra
heart-i06-2505-10mm,Natural Rose Quartz Bracelet 10mm,"Pure natural rose quartz in full ten-millimeter rounds — no accents, no apologies — for the heart that is ready to be gentle with itself, plainly and daily.",https://lunartalisman.com/detail/heart-i06-2505-10mm/,https://lunartalisman.com/pins/heart-i06-2505-10mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Natural Rose Quartz,Heart Chakra
heart-i09-2502-10m,Crimson Greeting Strawberry Quartz Yellow Crystal Bracelet 10mm,"Crimson-pink strawberry quartz meeting warm yellow crystal — a bracelet that greets each day with color, for hearts ready to welcome joy at the door.",https://lunartalisman.com/detail/heart-i09-2502-10m/,https://lunartalisman.com/pins/heart-i09-2502-10m.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,pink,Alternating Strawberry Quartz ,Heart Chakra
third-eye-a4-2503,Gilded Times Amethyst Bracelet,Vintage-gold spacers meet deep violet amethyst in a bracelet that feels like an heirloom found at dusk — for making decisions with the poise of someone who has already made peace with them.,https://lunartalisman.com/detail/third-eye-a4-2503/,https://lunartalisman.com/pins/third-eye-a4-2503.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a5-2504-10mm,Amethyst Pi Xiu Clear Quartz Bracelet 10mm,Amethyst rounds and clear quartz carry a carved Pi Xiu — the fabled guardian that traditional belief says draws fortune in — for protecting both your focus and your momentum.,https://lunartalisman.com/detail/third-eye-a5-2504-10mm/,https://lunartalisman.com/pins/third-eye-a5-2504-10mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a2-2507,Lavender Azeztulite Bracelet,"Pale-lilac azeztulite beads, luminous as the first minute of dawn — for readers of between-the-lines, dreamers who remember too much, and anyone tired of their own loud thoughts.",https://lunartalisman.com/detail/third-eye-a2-2507/,https://lunartalisman.com/pins/third-eye-a2-2507.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a3-2503,Amethyst Bracelet Classic,"The essential amethyst strand: classic round beads in that deep, contemplative violet, for clearing the space between your thoughts and hearing the answer you already know.",https://lunartalisman.com/detail/third-eye-a3-2503/,https://lunartalisman.com/pins/third-eye-a3-2503.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a5-2506-8mm,Amethyst Pi Xiu Faceted Clear Quartz Bracelet 8mm,"A carved Pi Xiu guard rides between amethyst rounds and faceted clear quartz — sparkle and stillness in one bracelet, for holding your nerve when opportunity finally knocks.",https://lunartalisman.com/detail/third-eye-a5-2506-8mm/,https://lunartalisman.com/pins/third-eye-a5-2506-8mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a6-2508,Uruguayan Amethyst Clear Quartz Bracelet,"Uruguayan amethyst — the deep, smoky-violet crown jewel of amethyst — strung with clear quartz for a third-eye talisman that asks you to see clearly, then trust what you see.",https://lunartalisman.com/detail/third-eye-a6-2508/,https://lunartalisman.com/pins/third-eye-a6-2508.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-a8-2503-12mm,Amethyst Diamond Circle Bracelet 12mm,Generous 12mm amethyst rounds set off by slim diamond-pavé circles — a bracelet with presence for the woman who wants her clarity to look as deliberate as her decisions.,https://lunartalisman.com/detail/third-eye-a8-2503-12mm/,https://lunartalisman.com/pins/third-eye-a8-2503-12mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b1-2501,Amethyst Nine Purple Fire Bracelet,"Inspired by the Nine Purple Fire star of classical feng shui — an auspicious nine-year cycle said to favor visibility, creativity, and renewal — in amethyst violet for the bold era ahead.",https://lunartalisman.com/detail/third-eye-b1-2501/,https://lunartalisman.com/pins/third-eye-b1-2501.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b1-2508-6mm,Purple Cinnabar Pearl Bracelet 6mm,"Six-millimeter purple cinnabar beads threaded with luminous pearls — a delicate, dressy strand that brings third-eye stillness to the wrist without interrupting a single conversation.",https://lunartalisman.com/detail/third-eye-b1-2508-6mm/,https://lunartalisman.com/pins/third-eye-b1-2508-6mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b2-2508-8mm,Purple Jade Bracelet 8mm,"Eight-millimeter purple jade in a smooth, misted lavender — a gemstone classic reimagined for the third eye, said to bring the poise of jade to the clarity of amethyst tones.",https://lunartalisman.com/detail/third-eye-b2-2508-8mm/,https://lunartalisman.com/pins/third-eye-b2-2508-8mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b6-2502,Amethyst Classic Bracelet,"The everyday amethyst — a clean, honest strand of natural violet that works as hard as you do, quietly steadying the mind from meeting to meditation and back.",https://lunartalisman.com/detail/third-eye-b6-2502/,https://lunartalisman.com/pins/third-eye-b6-2502.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b5-2509,Faceted Clear Quartz Amethyst Bracelet,"Amethyst and faceted clear quartz in an alternating sparkle — the classic clarity pairing, cut to catch light from every angle, for minds that want both stillness and shine.",https://lunartalisman.com/detail/third-eye-b5-2509/,https://lunartalisman.com/pins/third-eye-b5-2509.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b5-2508,Lavender Amethyst Jade Rabbit Bracelet,Pale lavender amethyst with a carved jade moon rabbit — the companion of the moon in Chinese legend — for dreamers who want their intuition as gentle as their nights are long.,https://lunartalisman.com/detail/third-eye-b5-2508/,https://lunartalisman.com/pins/third-eye-b5-2508.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-b6-2503,Amethyst Star Bracelet,"Amethyst rounds with a small star charm, for nights when you need the sky's oldest reassurance — that the pattern is there even when you cannot see it yet.",https://lunartalisman.com/detail/third-eye-b6-2503/,https://lunartalisman.com/pins/third-eye-b6-2503.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-e09-2506-9-10mm,Purple Tower Super Seven Tiger's Eye Bracelet 9 10mm,"Purple-tower amethyst, black-gold super seven, and tiger's eye in one substantial 9–10mm strand — grounding, protective, and quietly powerful for decisions that need both gut and gravity.",https://lunartalisman.com/detail/third-eye-e09-2506-9-10mm/,https://lunartalisman.com/pins/third-eye-e09-2506-9-10mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,"Amethyst, Black-Gold Super Sev",Third Eye Chakra
third-eye-c10-2501,Amethyst Citrine Rutilated Quartz Mix Bracelet,"A painterly mix of amethyst, citrine, and rutilated quartz — violet, gold, and sunlit thread — for third-eye work that keeps one foot in the warm, bright world of action.",https://lunartalisman.com/detail/third-eye-c10-2501/,https://lunartalisman.com/pins/third-eye-c10-2501.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,"Amethyst, Honey Citrine, And R",Third Eye Chakra
third-eye-f07-2503-8mm,Amethyst Green Aventurine Bracelet 8mm,"Amethyst violet and green aventurine, side by side — the third eye and the heart in one bracelet, for decisions made with both clarity and compassion.",https://lunartalisman.com/detail/third-eye-f07-2503-8mm/,https://lunartalisman.com/pins/third-eye-f07-2503-8mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-i06-2506-12mm,Amethyst Taro Cream Bracelet 12mm,"Milky taro-cream amethyst at a generous 12mm — soft as a favorite dessert, steady as a good decision, for when you want comfort and clarity in the same breath.",https://lunartalisman.com/detail/third-eye-i06-2506-12mm/,https://lunartalisman.com/pins/third-eye-i06-2506-12mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-i08-2509-8mm,Amethyst Strawberry Quartz Bracelet 8mm,"Amethyst violet meets strawberry quartz's blushing pink at 8mm — a tender two-tone strand for intuition that keeps its softness, even when it is right.",https://lunartalisman.com/detail/third-eye-i08-2509-8mm/,https://lunartalisman.com/pins/third-eye-i08-2509-8mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-i07-2508,Twilight Purple Amethyst Bracelet,"Twilight purple amethyst, named for the violet haze that settles over mountains at dusk — for the hour when day-noise fades and the quiet mind finally gets its turn.",https://lunartalisman.com/detail/third-eye-i07-2508/,https://lunartalisman.com/pins/third-eye-i07-2508.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-i10-2505,Purple Qi from the East Nine Purple Fire Bracelet,"Two auspicious names, one bracelet: the purple cloud that heralds good fortune from the east, and the Nine Purple Fire of the new era — amethyst for a season of visible, welcome change.",https://lunartalisman.com/detail/third-eye-i10-2505/,https://lunartalisman.com/pins/third-eye-i10-2505.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-crystal-talisman,Natural Amethyst Bracelet,"Natural amethyst in the raw, honest violet it grew — no tricks, no heat, no theater — for people who want their clarity as genuine as the stone that carries it.",https://lunartalisman.com/detail/third-eye-crystal-talisman/,https://lunartalisman.com/pins/third-eye-crystal-talisman.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
third-eye-8mm,Purple Cinnabar Gourd Bracelet 8mm,"Deep plum-purple cinnabar gourds, strung at eight millimeters — a small, tactile anchor for days when your thoughts refuse to settle and your intuition needs a quiet door.",https://lunartalisman.com/detail/third-eye-8mm/,https://lunartalisman.com/pins/third-eye-8mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,purple,,Third Eye Chakra
crown-a5-2510,Labradorite Strawberry Quartz Moon Pendant Bracelet,"Rose-toned strawberry quartz and dark labradorite meet beneath a small moon charm, a poetic trio for dreamers, believed to soften the heart while keeping your gaze turned gently skyward.",https://lunartalisman.com/detail/crown-a5-2510/,https://lunartalisman.com/pins/crown-a5-2510.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,white,,Crown Chakra
crown-e06-2509-12mm,Clear Quartz Rose Quartz Bracelet 12mm,Substantial 12mm beads of clear quartz and gentle rose quartz alternate like light and tenderness — a traditional pairing believed to bring clarity to the mind without asking the heart to grow cold.,https://lunartalisman.com/detail/crown-e06-2509-12mm/,https://lunartalisman.com/pins/crown-e06-2509-12mm.jpg,89.00 USD,in stock,new,Lunar Talisman,Apparel & Accessories > Jewelry > Bracelets,white,,Crown Chakra
